,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Power consumption (inc. losses) at Syspower per Mode (W),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stowed Tumbling,Stowed Tumbling + S-Band,Detumbling,Stable Tumbling,Sun Pointing,Protection,Slewing,S-band RF,"X,S-band RF",Payload nominal operations,Aiming mirrors,Payload calibration,Stargazing,Payload data processing,,,,,,,,,,,,,,,,
,Total,18.7,20.8,14,24,31,13.4,35.7,45.6,66.5,23.1,32.3,23.1,32.3,32.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System,Subsystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPSA1 & EPSA2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,
,EPSA2 Heaters,4.8,4.8,0,9.6,9.6,9.6,9.6,9.6,9.6,0,9.6,0,9.6,9.6,,,,,,,,,,,,,,,,
,EPSA3,1.1,1.1,0,0,0,0,0,0,0,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,,,,,,,
,OBC,7.1,7.1,7.1,7.1,7.1,0,7.7,7.7,7.7,7.1,7.1,7.1,7.1,7.1,,,,,,,,,,,,,,,,
,COMMS S-BAND,0,1.9,1.9,1.9,0,0,1.9,12.1,12.1,0,0,0,0,0,,,,,,,,,,,,,,,,
,COMMS x-BAND,0,0,0,0,0,0,0,0,18.1,0,0,0,0,0,,,,,,,,,,,,,,,,
,ADCS,1.2,1.2,1.2,0.3,8.3,0,9.9,8.3,8.3,9.9,8.3,9.9,8.3,8.3,,,,,,,,,,,,,,,,
,PDPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary Payload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASTROPAYLOAD,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secondary Payload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
