ELAPSED_TIME_SEC,POWER_GENERATION_WATTS,ROLL_DEG,PITCH_DEG,YAW_DEG,Q0,Q1,Q2,Q3
3.1110493939025E7,52.905394,22.596802,0.061174,59.35318,-0.852048,-0.169962,-0.097455,-0.485418
3.111049393924E7,0.0,22.596814,0.061174,59.353177,-0.852048,-0.169962,-0.097455,-0.485418
3.1110503620327E7,0.0,23.121896,0.061779,59.222515,-0.851813,-0.173975,-0.099484,-0.483994
3.1110563620327E7,0.0,26.358553,0.064887,58.323096,-0.850312,-0.198831,-0.111579,-0.474327
3.1110623620327E7,0.0,29.560191,0.066814,57.256734,-0.848774,-0.223651,-0.122725,-0.463143
3.1110683620327E7,0.0,32.719412,0.067448,56.002891,-0.847265,-0.248428,-0.132739,-0.450339
3.1110743620327E7,0.0,35.827404,0.066666,54.536646,-0.845861,-0.273149,-0.141414,-0.435788
3.1110803620327E7,0.0,38.873559,0.064328,52.827986,-0.844645,-0.297791,-0.148507,-0.419334
3.1110863620327E7,0.0,41.845,0.060278,50.841073,-0.84371,-0.32232,-0.153734,-0.400786
3.1110923620327E7,0.0,44.725988,0.054342,48.533618,-0.843153,-0.346675,-0.156769,-0.379912
3.1110983620327E7,0.0,47.497216,0.046337,45.856595,-0.843068,-0.370762,-0.157234,-0.35644
3.1111043620327E7,0.0,50.134999,0.036074,42.754723,-0.843538,-0.394432,-0.154703,-0.330051
3.1111103620327E7,0.0,52.610411,0.023386,39.168461,-0.844617,-0.417455,-0.148714,-0.300397
3.1111163620327E7,0.0,54.888546,0.008162,35.038577,-0.846305,-0.439489,-0.138799,-0.267118
3.1111223620327E7,0.0,56.928196,-0.009582,30.314676,-0.848522,-0.460047,-0.124548,-0.229901
3.1111283620327E7,0.0,58.682453,-0.029617,24.968772,-0.851078,-0.478472,-0.105707,-0.188566
3.1111343620327E7,0.0,60.100906,-0.051398,19.013521,-0.85366,-0.493949,-0.082325,-0.143185
3.1111403620327E7,0.0,61.13402,-0.073999,12.52124,-0.855864,-0.505573,-0.054905,-0.094223
3.1111463620327E7,0.0,61.739656,-0.096141,5.635175,-0.857276,-0.512504,-0.024502,-0.042623
3.1111523620327E7,0.0,61.890456,-0.116385,-1.437514,-0.857598,-0.514167,0.007322,0.010237
3.1111583620327E7,0.0,61.579587,-0.133431,-8.455709,-0.856757,-0.510423,0.038736,0.062737
3.1111643620327E7,0.0,60.822323,-0.14642,-15.18859,-0.854935,-0.501616,0.067991,0.113334
3.1111703620327E7,0.0,59.652677,-0.155053,-21.455415,-0.852499,-0.488461,0.093735,0.160823
3.1111763620327E7,0.0,58.116699,-0.159532,-27.145331,-0.849872,-0.47185,0.115166,0.204481
3.1111823620327E7,0.0,56.265153,-0.160371,-32.215005,-0.847422,-0.45266,0.132002,0.244029
3.1111883620327E7,0.0,54.14771,-0.158202,-36.67254,-0.845408,-0.431643,0.14435,0.279524
3.1111943620327E7,0.0,51.80943,-0.153644,-40.558027,-0.843968,-0.409378,0.152549,0.311217
3.1112003620327E7,0.0,49.289245,-0.147236,-43.927195,-0.843144,-0.386287,0.157044,0.339452
3.1112063620327E7,0.0,46.619779,-0.139418,-46.840188,-0.842909,-0.36266,0.158306,0.364585
3.1112123620327E7,0.0,43.827883,-0.130539,-49.355005,-0.843193,-0.338687,0.156781,0.386957
3.1112183620327E7,0.0,40.935458,-0.120867,-51.52424,-0.84391,-0.314494,0.152873,0.406865
3.1112243620327E7,0.0,37.960309,-0.110614,-53.393883,-0.844963,-0.290158,0.146937,0.424564
3.1112303620327E7,0.0,34.916928,-0.099945,-55.003256,-0.846258,-0.265728,0.139277,0.44027
3.1112363620327E7,0.0,31.817167,-0.088996,-56.385491,-0.847708,-0.241232,0.130155,0.454157
3.1112423620327E7,0.0,28.670777,-0.077877,-57.568226,-0.849231,-0.216687,0.119798,0.46637
3.1112483620327E7,0.0,25.485858,-0.066683,-58.574341,-0.850759,-0.192105,0.108398,0.477026
3.1112517306755E7,0.0,23.683416,-0.060398,-59.068983,-0.851596,-0.178289,0.101606,0.482362
3.1112527129407E7,0.0,23.156114,-0.058567,-59.204275,-0.851835,-0.174259,0.099577,0.483834
3.1112527129931E7,52.9049,23.156085,-0.058567,-59.204282,-0.851835,-0.174259,0.099577,0.483834
3.1112587129931E7,52.905141,19.920079,-0.047435,-59.947901,-0.853233,-0.149624,0.086766,0.492014
3.1112647129931E7,52.905389,16.661784,-0.036439,-60.558251,-0.85449,-0.124965,0.073327,0.498853
3.1112707129931E7,52.905643,13.385709,-0.025646,-61.045771,-0.855569,-0.100284,0.059384,0.504399
3.1112767129931E7,52.905902,10.095851,-0.01512,-61.418566,-0.856441,-0.075583,0.045047,0.508692
3.1112827129931E7,52.906165,6.795832,-0.004925,-61.682674,-0.857082,-0.050867,0.030422,0.511759
3.1112887129931E7,52.90643,3.489003,0.004875,-61.842261,-0.857477,-0.026138,0.015607,0.513621
3.1112947129931E7,52.906696,0.178544,0.014219,-61.899767,-0.857616,-0.0014,6.95E-4,0.514288
3.1113007129931E7,52.906962,-3.132449,0.023042,-61.855973,-0.857496,0.023343,-0.01422,0.513764
3.1113067129931E7,52.907228,-6.440879,0.031279,-61.710033,-0.85712,0.048087,-0.029046,0.512044
3.1113127129931E7,52.907491,-9.743565,0.038864,-61.459434,-0.856497,0.072829,-0.043687,0.509118
3.1113187129931E7,52.90775,-13.037154,0.045726,-61.09993,-0.855642,0.097565,-0.058045,0.504964
3.1113247129931E7,52.908005,-16.318026,0.051793,-60.625396,-0.854578,0.122292,-0.072016,0.499555
3.1113307129931E7,52.908254,-19.582187,0.056987,-60.02764,-0.853335,0.147007,-0.085488,0.49285
3.1113367129931E7,52.908496,-22.825134,0.061223,-59.296127,-0.851949,0.171708,-0.098337,0.484798
3.1113427129931E7,52.90873,-26.04171,0.064413,-58.417633,-0.850466,0.19639,-0.110426,0.475336
3.1113487129931E7,52.908955,-29.225907,0.066455,-57.375805,-0.848941,0.22105,-0.1216,0.464382
3.1113547129931E7,52.909169,-32.370631,0.06724,-56.150629,-0.847436,0.24568,-0.131683,0.451834
3.1113607129931E7,52.909373,-35.467411,0.066645,-54.717803,-0.846024,0.270269,-0.140472,0.437568
3.1113667129931E7,52.909564,-38.506028,0.06453,-53.048027,-0.844788,0.294797,-0.147729,0.421431
3.1113727129931E7,52.909743,-41.474045,0.06074,-51.106258,-0.843819,0.319231,-0.153179,0.403234
3.1113787129931E7,52.909907,-44.356237,0.055102,-48.85104,-0.843211,0.343518,-0.1565,0.382751
3.1113847129931E7,52.910057,-47.13389,0.04743,-46.234117,-0.84306,0.367568,-0.157323,0.359712
3.1113907129931E7,52.910192,-49.78399,0.037531,-43.200738,-0.843451,0.391241,-0.155226,0.333804
3.1113967129931E7,52.91031,-52.278346,0.025227,-39.69134,-0.844444,0.414322,-0.149748,0.304676
3.1114027129931E7,52.910413,-54.582799,0.010392,-35.64562,-0.846049,0.436486,-0.140417,0.271964
3.1114087129931E7,52.910498,-56.656777,-0.00699,-31.010383,-0.848199,0.457269,-0.126801,0.235339
3.1114147129931E7,52.910565,-58.453691,-0.026732,-25.752393,-0.850723,0.476036,-0.10861,0.194587
3.1114207129931E7,52.910615,-59.92283,-0.048346,-19.876222,-0.853326,0.491986,-0.085831,0.149728
3.1114267129931E7,52.910646,-61.013413,-0.070961,-13.443881,-0.85561,0.504212,-0.05889,0.10116
3.1114327129931E7,52.910659,-61.680891,-0.093337,-6.588267,-0.857155,0.511842,-0.02876,0.049753
3.1114387129931E7,52.910654,-61.894464,-0.114025,0.490396,-0.857635,0.51424,0.003054,-0.003159
3.1114447129931E7,52.91063,-61.643385,-0.131671,7.551492,-0.85694,0.511191,0.034725,-0.055964
3.1114507129931E7,52.910588,-60.939365,-0.145324,14.357754,-0.855221,0.50297,0.064453,-0.107071
3.1114567129931E7,52.910527,-59.813908,-0.154598,20.71755,-0.852828,0.490256,0.090803,-0.155205
3.1114627129931E7,52.910448,-58.311869,-0.159631,26.508481,0.850189,-0.473931,-0.112883,0.199562
3.1114687129931E7,52.910352,-56.483968,-0.160907,31.677886,-0.84769,0.454892,0.130341,-0.239804
3.1114747129931E7,52.910238,-54.380596,-0.159057,36.227849,-0.845607,0.433917,0.143242,-0.275947
3.1114807129931E7,52.910107,-52.047907,-0.154711,40.195449,-0.844095,0.411613,0.151902,-0.308226
3.1114867129931E7,52.909959,-49.526022,-0.148427,43.635533,-0.843206,0.388425,0.156766,-0.336977
3.1114927129931E7,52.909795,-46.848698,-0.140662,46.60863,-0.842918,0.36466,0.158306,-0.362562
3.1114987129931E7,52.909616,-44.04379,-0.131779,49.173737,-0.843166,0.34052,0.15698,-0.385324
3.1115047129931E7,52.909423,-41.134057,-0.122059,51.384664,-0.84386,0.316139,0.153202,-0.405568
3.1115107129931E7,52.909215,-38.138031,-0.111723,53.288615,-0.844903,0.2916,0.147335,-0.423557
3.1115167129931E7,52.908995,-35.070818,-0.100946,54.926012,-0.846198,0.266954,0.139695,-0.43951
3.1115227129931E7,52.908763,-31.94479,-0.089867,56.330944,-0.847655,0.242234,0.130552,-0.453607
3.1115287129931E7,52.908519,-28.77015,-0.078603,57.53185,-0.849192,0.217459,0.120139,-0.465995
3.1115347129931E7,52.908266,-25.55539,-0.067253,58.552269,-0.850735,0.19264,0.108655,-0.476796
3.1115407129931E7,52.908003,-22.307654,-0.055906,59.411533,-0.852222,0.167784,0.096276,-0.486104
3.1115467129931E7,52.907732,-19.033033,-0.04464,60.125389,-0.853599,0.142899,0.083155,-0.493998
3.1115527129931E7,52.907455,-15.736788,-0.03353,60.706511,-0.854822,0.117987,0.069429,-0.500538
3.1115587129931E7,52.907172,-12.423549,-0.022646,61.164921,-0.855854,0.093052,0.055221,-0.505772
3.1115647129931E7,52.906884,-9.097455,-0.012055,61.508318,-0.856667,0.0681,0.040644,-0.509738
3.1115707129931E7,52.906593,-5.762291,-0.001825,61.742335,-0.857239,0.043135,0.025805,-0.51246
3.1115767129931E7,52.9063,-2.421591,0.007979,61.870722,-0.857556,0.018161,0.010803,-0.513957
3.1115827129931E7,52.906006,0.921263,0.017291,61.895479,-0.85761,-0.006817,-0.004264,-0.514238
3.1115887129931E7,52.905713,4.262951,0.026044,61.816914,-0.8574,-0.031794,-0.0193,-0.513305
3.1115947129931E7,52.905421,7.600135,0.03417,61.633657,-0.856931,-0.056765,-0.034208,-0.511152
3.1116007129931E7,52.905131,10.929366,0.041599,61.342613,-0.856216,-0.081726,-0.04889,-0.507764
3.1116067129931E7,52.904846,14.246995,0.048257,60.938865,-0.855273,-0.106671,-0.063242,-0.503119
3.1116127129931E7,52.904566,17.549073,0.05407,60.415517,-0.854128,-0.131597,-0.077155,-0.497186
3.1116187129931E7,52.904292,20.831228,0.058954,59.763473,-0.852815,-0.1565,-0.090509,-0.489921
3.1116219631013E7,52.904146,22.599086,0.061183,59.352542,-0.852047,-0.169979,-0.097464,-0.485411
3.1116219631013E7,0.0,22.599086,0.061183,59.352542,-0.852047,-0.169979,-0.097464,-0.485411
3.1116229312783E7,0.0,23.124181,0.061787,59.221864,-0.851812,-0.173993,-0.099493,-0.483987
